id,name,birthdate,country,atp_rank,points,hard_points,clay_points,grass_points
54060,Gianluca Di Nicola/Davide Galoppini,,N/A,,,,,
54061,Matteo Fortini/Andrea Guerrieri,,N/A,,,,,
54062,Eduardo Dischinger/Cristobal Saavedra-Corvalan,,N/A,,,,,
54063,Enrico Becuzzi/Daniele Chiurulli,,N/A,,,,,
54064,Young-Hoon Jeong/Jae-Min Seol,,N/A,,,,,
54065,Hiroyasu Ehara/Shintaro Imai,,N/A,,,,,
54066,Yusuke Takahashi/Yusuke Watanuki,,N/A,,,,,
54067,Liang-Chi Huang/Hyun-Woo Nam,,N/A,,,,,
54068,A-Ram Kim/Sang-Oh Oh,,N/A,,,,,
54069,Sora Fukuda/Renta Tokuda,,N/A,,,,,
54070,Daniel Nolan/Darren K. Polkinghorne,,N/A,,,,,
54071,Bobbie De Goeijen/Yanais Laurent,,N/A,,,,,
54072,Flemming Peters/George Von Massow,,N/A,,,,,
54073,Marc Dijkhuizen/Floris Van Den Brink,,N/A,,,,,
54074,Gleb Alekseenko/Bar Tzuf Botzer,,N/A,,,,,
54075,Botic Van De Zandschulp/Bart Van Leijsen,,N/A,,,,,
54076,Jan Choinski/Maximilian Neuchrist,,N/A,,,,,
54077,Michiel De Krom/Moos Sporken,,N/A,,,,,
54078,David Pel/Jose Pereira,,N/A,,,,,
54079,George Botezan/Luca George Tatomir,,N/A,,,,,
54080,Daniel Cozma/Alexandru Vasile Manole,,N/A,,,,,
54081,Mohsen Hossein Zade/Shahin Khaledan,,N/A,,,,,
54082,Vlad Andrei Dumitru/Alexandru Mihai Maru,,N/A,,,,,
54083,Teodor-Dacian Craciun/Dragos Dima,,N/A,,,,,
54084,Ioan Dan Abrudan/Bogdan Pavel,,N/A,,,,,
54085,Darius Florin Bragusi/Patrick Grigoriu,,N/A,,,,,
54086,Vladimir Korolev/Mikhail Korovin,,N/A,,,,,
54087,Oleksandr Bielinskyi/Alexander Ovcharov,,N/A,,,,,
54088,Victor Baluda/Evgeny Karlovskiy,,N/A,,,,,
54089,Svyatoslav Shainyan/Mikhail Sokolovskiy,,N/A,,,,,
54090,Anton Kratyuk,1982-02-05,RUS,,,,,
54091,Vladislav Gorshenin/Anton Kratyuk,,N/A,,,,,
54092,Pavel Selivanovsky/Alexandr Semenov,,N/A,,,,,
54093,Carlos Boluda-Purkiss/Jose Fco. Vidal Azorin,,N/A,,,,,
54094,Borja Martinez-Lejarza/Borja Perez Aguirrezabal,,N/A,,,,,
54095,Mikel Lopez Hernaez/Inigo Torre Martin,,N/A,,,,,
54096,Quim Sorni Chavarria/Pol Vaquero Fernandez,,N/A,,,,,
54097,Christian Gonzalez Fernandez/David Herrerias,,N/A,,,,,
54098,Juan Erro/Axel Franck,,N/A,,,,,
54099,George Davies/Joan Soler,,N/A,,,,,
54100,Rithwik Rajshekhar Raman/Rishabdev Raman,,N/A,,,,,
54101,Valentino Raul Caratini/Nicolas Ezequiel Natalicchio,,N/A,,,,,
54102,Artsiom Dabryian/Denys Mylokostov,,N/A,,,,,
54103,Mustafa Erdogan/S Mert Ozdemir,,N/A,,,,,
54104,Niccolo Apostolico/Nicolo Turchetti,,N/A,,,,,
54105,Franco Agamenone/Giovani Samaha,,N/A,,,,,
54106,Vadim Alekseenko/Isa Mammetgulyyev,,N/A,,,,,
54107,Tuna Altuna/Anil Yuksel,,N/A,,,,,
54108,Sebastian Eguez/Jose Statham,,N/A,,,,,
54109,Connor Smith/Danny Thomas,,N/A,,,,,
54110,Thai Kwiatkowski/Nathan Pasha,,N/A,,,,,
54111,William Bushamuka/Hassan Ndayishimiye,,N/A,,,,,
54112,Cesar Antonio Gomez Diaz/Carlos Ramirez Utermann,,N/A,,,,,
54113,Patrick Kypson/Keith R Whittingham,,N/A,,,,,
54114,Julian Bradley/Collin Johns,,N/A,,,,,
54115,Jonathan Ho/Dennis Uspensky,,N/A,,,,,
54116,Hugo Nys/Vishnu Vardhan,,N/A,,,,,
54117,Kareem Allaf/Jayesh Pungliya,,N/A,,,,,
54118,Jeremy Beale/Mitchell Frank,,N/A,,,,,
54119,Patrick Foley/Miracle Moses Matanga,,N/A,,,,,
54120,Ken Onishi/Ken Onoda,,N/A,,,,,
54121,Matias Franco Descotte/Andrea Vavassori,,N/A,,,,,
54122,Samuel Ferguson/Marc-Andrea Huesler,,N/A,,,,,
54123,Agustin Moyano/Shane Vinsant,,N/A,,,,,
54124,Brandon Levendale/Louis Pretorius,,N/A,,,,,
54125,Adriaan De Jager/Francis Pare,,N/A,,,,,
54126,Theo Joby,1998-05-04,FRA,,,,,
54127,Dorian Lizon Tati,1999-02-22,FRA,,,,,
54128,Jules Gadoin,1998-01-20,FRA,,,,,
54129,Lucas Grandouiller,2000-03-26,FRA,,,,,
54130,Robin Cocouvi,1996-12-15,FRA,,,,,
54131,Stefano Modugno,1996-07-02,ITA,,,,,
54132,Alex Hunt,1993-12-16,NZL,,,,,
54133,Zachary Eisinga,2000-01-09,NED,,,,,
54134,James Markiewicz,1994-06-02,GBR,,,,,
54135,Johannes Bangratz,1999-09-07,AUT,,,,,
54136,Bruno Graf,1999-06-30,AUT,,,,,
54137,Andreas Kramer,1999-11-13,AUT,,,,,
54138,Bjorn Nareyka,1999-12-21,AUT,,,,,
54139,Christopher Hutterer,1998-09-20,AUT,,,,,
54140,Jan-Niklas Graetz,1996-03-03,GER,,,,,
54141,Julian Schubert,2000-02-09,AUT,,,,,
54142,Franz Lukas,1997-02-05,AUT,,,,,
54143,Alexander Kramer,1998-03-08,AUT,,,,,
54144,Denny Vojtischek,1990-06-05,GER,,,,,
54145,Tim De Cock,1995-12-13,BEL,,,,,
54146,Buvaysar Gadamauri,2000-07-10,BEL,382,122,30,42,0
54147,Gustavo Rodrigues Da Cunha,2000-02-12,BRA,,,,,
54148,Matheus Matheus Jose Giroldo Lima,2001-12-20,BRA,,,,,
54149,Gustavo Garcia Agra Naufal,1999-06-24,BRA,,,,,
54150,Vinicius Silva,1998-10-04,BRA,,,,,
54151,Vitor De Figueiredo Wagner,1998-03-26,BRA,,,,,
54152,Felipe Muzzi,1999-04-09,BRA,,,,,
54153,Guilherme Calixto,1999-01-02,BRA,,,,,
54154,Wu Xian,1997-04-30,CHN,,,,,
54155,Masaru Fujimaki,1996-12-04,JPN,,,,,
54156,Nikolas Lahky,1999-09-05,SVK,,,,,
54157,Tristan Da Lio,1994-11-19,TUN,,,,,
54158,Alexandr Melnitskiy,1999-03-31,RUS,,,,,
54159,Mario Gerasimoski,2000-01-21,MKD,,,,,
54160,Lars Johann,2001-11-18,GER,,,,,
54161,Tim Beckstein,1999-01-06,GER,,,,,
54162,Noel Hartzheim,1999-12-29,GER,,,,,
54163,Chris Rodesch,2001-07-18,LUX,137,446,49,119,43
54164,Konstantin Cucka,2002-06-03,GER,,,,,
54165,Daljit Singh,1993-11-01,IND,,,,,
54166,Sergey Ksenzov,1998-06-19,RUS,,,,,
54167,Alvaro Murueta-Goyena,1993-07-26,ESP,,,,,
54168,Alvaro Arce Garcia,1999-09-11,ESP,,,,,
54169,Galo Alvarez,1980-09-22,ESP,,,,,
54170,Oliver Zarate Rodriguez,1999-02-12,MEX,,,,,
54171,Ahmet Sarioglu,1992-03-28,TUR,,,,,
54172,Olivier Kigotho,1998-05-06,KEN,,,,,
54173,Robert Lindstedt/Andre Sa,,N/A,,,,,
54174,Facundo Bagnis/Aljaz Bedene,,N/A,,,,,
54175,Karen Khachanov/Albert Ramos-Vinolas,,N/A,,,,,
54176,Evgeny Donskoy/Mikhail Elgin,,N/A,,,,,
54177,Gero Kretschmer/Philipp Marx,,N/A,,,,,
54178,Guillermo Duran/Jonathan Erlich,,N/A,,,,,
54179,Andre Begemann/Jan-Lennard Struff,,N/A,,,,,
54180,Inigo Cervantes/Leonardo Mayer,,N/A,,,,,
54181,Brydan Klein/Yuichi Sugita,,N/A,,,,,
54182,Austin Krajicek/Gerardo Lopez Villasenor,,N/A,,,,,
54183,Victor Estrella/John-Paul Fruttero,,N/A,,,,,
54184,Marcos Baghdatis/Gilles Muller,,N/A,,,,,
54185,Ariel Behar/Jeevan Nedunchezhiyan,,N/A,,,,,
54186,Alex Lawson/Mackenzie Mcdonald,,N/A,,,,,
54187,Dudi Sela/Jordan Thompson,,N/A,,,,,
54188,Andrea Basso/Riccardo Bonadio,,N/A,,,,,
54189,Miki Jankovic/Dmitry Popko,,N/A,,,,,
54190,Constant Lestienne/Ivan Nedelko,,N/A,,,,,
54191,Enrique Lopez-Perez/Blaz Rola,,N/A,,,,,
54192,Steven De Waard/Luca Margaroli,,N/A,,,,,
54193,Lucas Miedler/Stefano Travaglia,,N/A,,,,,
54194,Adrian Menendez-Maceiras/Fabricio Neis,,N/A,,,,,
54195,Federico Gaio/Stefano Napolitano,,N/A,,,,,
54196,Michal Dembek/Grzegorz Panfil,,N/A,,,,,
54197,David Perez Sanz/Frederico Ferreira Silva,,N/A,,,,,
54198,Sander Arends/Andreas Mies,,N/A,,,,,
54199,Mateusz Kowalczyk/Kamil Majchrzak,,N/A,,,,,
54200,Aleksandr Nedovyesov/Alexandre Sidorenko,,N/A,,,,,
54201,Pedro Sousa/Miljan Zekic,,N/A,,,,,
54202,Aleksandre Metreveli/Hsien-Yin Peng,,N/A,,,,,
54203,Sadio Doumbia/Gleb Sakharov,,N/A,,,,,
54204,Marek Michalicka/Robin Stanek,,N/A,,,,,
54205,Pedja Krstin/Nikola Milojevic,,N/A,,,,,
54206,Gilbert Klier Junior,2000-05-16,BRA,,,,,
54207,Maxime Cressy,1997-05-08,USA,,,,,
54208,Florent Bax,1999-06-16,FRA,268,197,103,109,0
54209,Andrey Golubev/Matt Reid,,N/A,,,,,
54210,Cameron Norrie/Finn Tearney,,N/A,,,,,
54211,Felix Auger Aliassime/Brayden Schnur,,N/A,,,,,
54212,Luke Bambridge/Lloyd Glasspool,,N/A,,,,,
54213,Kevin Kylar/Joshua Peck,,N/A,,,,,
54214,Marinko Matosevic/Nicolas Meister,,N/A,,,,,
54215,Mitchell Krueger/Daniel Nguyen,,N/A,,,,,
54216,Hiroki Moriya/Blake Mott,,N/A,,,,,
54217,Sam Barry/Yasutaka Uchiyama,,N/A,,,,,
54218,Marcin Gawron/Adam Majchrowicz,,N/A,,,,,
54219,Daniel Masur/Cedrik-Marcel Stebe,,N/A,,,,,
54220,Shane Nicholls/Eric Yee,,N/A,,,,,
54221,Washi Gervais/Nicholas Kamisar,,N/A,,,,,
54222,Daniel Cukierman/Patrick Davidson,,N/A,,,,,
54223,Dennis Uspensky/Aleksandar Vukic,,N/A,,,,,
54224,Andrew Korinek/Kevin Kylar,,N/A,,,,,
54225,Dane Esses/Mesa Mei,,N/A,,,,,
54226,Christian Lakoseljac/David Volfson,,N/A,,,,,
54227,N.Sriram Balaji/Marat Deviatiarov,,N/A,,,,,
54228,Benjamin Pietri/Johan Sebastien Tatlot,,N/A,,,,,
54229,Adrien Gombocz (1987)/Roman Tudoreanu,,N/A,,,,,
54230,Joffrey De Schepper/Maxime Tchoutakian,,N/A,,,,,
54231,Vitalii Shcherba/Zhizhen Zhang,,N/A,,,,,
54232,Felipe Martinez Sarrasague/Nicolas Uryson,,N/A,,,,,
54233,Romain Jouan/Florian Reynet,,N/A,,,,,
54234,Lucas Bouquet/Luc Fomba,,N/A,,,,,
54235,Jonathan Eysseric/Lorenzo Giustino,,N/A,,,,,
54236,Thibault Cancel/Mateo Galdon,,N/A,,,,,
54237,Florent Diep/Ronan Joncour,,N/A,,,,,
54238,Raul Brancaccio/Davide Galoppini,,N/A,,,,,
54239,Gianluca Acquaroli/Lorenzo Santini,,N/A,,,,,
54240,Cristian Carli/Matteo Fago,,N/A,,,,,
54241,Giuseppe Caparco/Stefano Modugno,,N/A,,,,,
54242,Francesco Borgo/Giovanni Oradini,,N/A,,,,,
54243,Omar Giacalone/Pietro Licciardi,,N/A,,,,,
54244,Antonio Luise/Gennaro Orazzo,,N/A,,,,,
54245,Ciro Cardone,1981-01-12,ITA,,,,,
54246,Liam Caruana/Daniele Chiurulli,,N/A,,,,,
54247,Ciro Cardone/Antonio Mastrelia,,N/A,,,,,
54248,Alessandro Colella/Tsung-Hua Yang,,N/A,,,,,
54249,Eduardo Dischinger/Juan Pablo Paz,,N/A,,,,,
54250,Roy De Valk/Yanais Laurent,,N/A,,,,,
54251,Ricky De Bruijn/Leon Hoeveler,,N/A,,,,,
54252,Alex Hunt/James Markiewicz,,N/A,,,,,
54253,Jesse Huta Galung/Maximilian Neuchrist,,N/A,,,,,
54254,Miliaan Niesten/Boy Westerhof,,N/A,,,,,
54255,Artem Smirnov/Alexey Vatutin,,N/A,,,,,
54256,Aleksandre Metreveli/Dzmitry Zhyrmont,,N/A,,,,,
54257,Paul Monteban/Jelle Sels,,N/A,,,,,
54258,Bradley Mousley/Goncalo Oliveira,,N/A,,,,,
54259,Corentin Denolly/Caio Silva,,N/A,,,,,
54260,Jonas Trinker/Mick Veldheer,,N/A,,,,,
54261,Sebastian Bader/Alexander Erler,,N/A,,,,,
54262,Bernd Kossler/Sebastian Prechtel,,N/A,,,,,
54263,Lorenz Fink/Marcel Waloch,,N/A,,,,,
54264,Michal Dembek/Fabrizio Ornago,,N/A,,,,,
54265,Andrea Basso/Matteo Siccardi,,N/A,,,,,
54266,Gaston Briano/Juan Pablo Ficovich,,N/A,,,,,
54267,Elliot Minvielle/Roberto Santino Quintana Llamas,,N/A,,,,,
54268,Eduardo Peralta-Tello/Robin Vanhauwe,,N/A,,,,,
54269,Dennis Bogaert/Jonas Merckx,,N/A,,,,,
54270,Rohit Navelkar/Davide Negrotti,,N/A,,,,,
54271,Philippe Gelade/Manuel Guinard,,N/A,,,,,
54272,Jarryd Bant/Tom Farquharson,,N/A,,,,,
54273,Michael Geerts/Jeroen Vanneste,,N/A,,,,,
54274,Guilherme De Freitas Coco/Vinicius Ono,,N/A,,,,,
54275,Gabriel Alejandro Hidalgo/Gerardo Irarrazabal,,N/A,,,,,
54276,Mateus Alves/Breno Henrique Simonato Pereira,,N/A,,,,,
54277,Pedro Iamachkine/Gabriel Roveri Sidney,,N/A,,,,,
54278,Ryusei Makiguchi/Mateo Nicolas Martinez,,N/A,,,,,
54279,Jeff Guerrero/Gonzalo Lavaselli,,N/A,,,,,
54280,Juan Manuel Matute/Agustin Suarez Gonzalez,,N/A,,,,,
54281,Maverick Banes/Mitchell William Robins,,N/A,,,,,
54282,Cing-Yang Meng/Li-Wie Tan,,N/A,,,,,
54283,Congsup Congcar/Kazuma Kawachi,,N/A,,,,,
54284,Seungri Choi/Ranjeet Virali-Murugesan,,N/A,,,,,
54285,Xi Qi/Su Hao Zhong,,N/A,,,,,
54286,Wei-De Lin/Wei Qiang Zheng,,N/A,,,,,
54287,Long Chen/Huixin Wang,,N/A,,,,,
54288,Jun Nan Tao/Aoxiong Wang,,N/A,,,,,
54289,Pawel Juszczak/Piotr Lomacki,,N/A,,,,,
54290,Tomas Frommel/David Mrazek,,N/A,,,,,
54291,Ondrej Krstev/Vitaliy Sachko,,N/A,,,,,
54292,Filipp Kekercheni/David Pichler,,N/A,,,,,
54293,Adam Kulich/Michal Marko,,N/A,,,,,
54294,Jan Pisecky,1976-05-09,CZE,,,,,
54295,Ivo Minar/Jan Pisecky,,N/A,,,,,
54296,Michal Franek/Tomas Musil,,N/A,,,,,
54297,Alexandru Danes/Arturs Lazdins,,N/A,,,,,
54298,Quentin Robert (1994)/Hugo Schott,,N/A,,,,,
54299,Kamil Gajewski/Ksawery Pociej,,N/A,,,,,
54300,Kshitij Kamal/Denis Pisarchuk,,N/A,,,,,
54301,Besir Durguti/Milos Nikolic,,N/A,,,,,
54302,Milan Drinic/Alexander Perfilov,,N/A,,,,,
54303,Shendrit Deari/Vullnet Tashi,,N/A,,,,,
54304,Klim Ivanov/Dejan Katic,,N/A,,,,,
54305,Neven Krivokuca/Miodrag Popovic,,N/A,,,,,
54306,Calin Manda/Gorazd Srbljak,,N/A,,,,,
54307,Tomislav Jotovski/Predrag Rusevski,,N/A,,,,,
54308,Stefan Micov/Danil Zelenkov,,N/A,,,,,
54309,Mukund Sasikumar/Yankel Zemel,,N/A,,,,,
54310,Christophe Tholl/Robi Tholl,,N/A,,,,,
54311,Sebastian Fanselow/Julian Lenz,,N/A,,,,,
54312,Ricardo Rodriguez-Pace/Jakob Sude,,N/A,,,,,
54313,Raphael Calzi/Alex Knaff,,N/A,,,,,
54314,Konstantin Cucka/Lennart Melzer,,N/A,,,,,
54315,Marcel Felder/Manuel Pena Lopez,,N/A,,,,,
54316,Julien Dubail/Thibault Venturino,,N/A,,,,,
54317,Noel Hartzheim/Leon Schwarz,,N/A,,,,,
54318,Jea Moon Lee/Hyun-Woo Nam,,N/A,,,,,
54319,Armando C. Soemarno/Sunu-Wahyu Trijati,,N/A,,,,,
54320,Yuichi Ito/Chuhan Wang,,N/A,,,,,
54321,Alexander Ovcharov/Ronald Slobodchikov,,N/A,,,,,
54322,Mikhail Fufygin/Shonigmatjon Shofayziyev,,N/A,,,,,
54323,Vladimir Korolev/Richard Muzaev,,N/A,,,,,
54324,Roman Khassanov/Denis Matsukevitch,,N/A,,,,,
54325,Marc Giner/Alexander Lobkov,,N/A,,,,,
54326,Nikolay Kolobaev/Nikita Valentsev,,N/A,,,,,
54327,Evgeny Karlovskiy/Vitaly Kozyukov,,N/A,,,,,
54328,Sergio Martos Gornes/Quim Sorni Chavarria,,N/A,,,,,
54329,Galo Alvarez/Inigo Mendieta,,N/A,,,,,
54330,Paco Climent Gregori/Ivan Gakhov,,N/A,,,,,
54331,Anton Jauregui/Alvaro Murueta-Goyena,,N/A,,,,,
54332,Luis Diego Chavez Villalpando/Nicolas Doria Medina,,N/A,,,,,
54333,David Jorda Sanchis/Jorge Lopez Perez Fuster,,N/A,,,,,
54334,Carlos Boluda-Purkiss/Oriol Roca Batalla,,N/A,,,,,
54335,Frederico Gil/Leandro Serrano Sanz,,N/A,,,,,
54336,Franco Agamenone/Mariano Kestelboim,,N/A,,,,,
54337,Juan Ignacio Cardini/Camilo Ugo Carabelli,,N/A,,,,,
54338,Lukas Mugevicius/Denys Mylokostov,,N/A,,,,,
54339,Jimmy Dougherty/Ahmet Sarioglu,,N/A,,,,,
54340,Andrew Ruppli/Thomas Statzberger,,N/A,,,,,
54341,Karen Khachatryan/Yuri Khachatryan,,N/A,,,,,
54342,Martin Beran/Scott Puodziunas,,N/A,,,,,
54343,Peter Goldsteiner/Isa Mammetgulyyev,,N/A,,,,,
54344,Yannick Jankovits/Hugo Voljacques,,N/A,,,,,
54345,Patrick Mufumbila/Tucker Vorster,,N/A,,,,,
54346,Tadiwa Chinamo/Mehluli Don Ayanda Sibanda,,N/A,,,,,
54347,Martin Dzuwa/Brandon Levendale,,N/A,,,,,
54348,Munashe Chingono/Michael Gutu,,N/A,,,,,
54349,Agustin Moyano/Cesar Testoni,,N/A,,,,,
54350,Peter Roessel,1997-01-08,AUT,,,,,
54351,Laurin Aerne,1999-01-18,SUI,,,,,
54352,Ryan Knarr,1988-03-22,USA,,,,,
54353,Brecht Van Buggenhout,1999-12-31,BEL,,,,,
54354,Marcel Hornung,1998-04-16,GER,,,,,
54355,Juliano Neris,1992-07-07,BRA,,,,,
54356,Lewei Cai,2000-07-21,CHN,,,,,
54357,Xinmu Zhou,2001-04-22,CHN,,,,,
54358,Ye Cong Mo,2000-06-26,CHN,645,55,51,0,0
54359,Leonard Sauer,1999-09-05,GER,,,,,
54360,Radek Koudela,1998-10-31,CZE,,,,,
54361,Patryk Garwacki,1999-06-10,POL,,,,,
54362,Filip Guziur,1998-01-26,CZE,,,,,
54363,Ondrej Ctverak,1998-01-16,CZE,,,,,
54364,Saif Manna,1999-02-10,USA,,,,,
54365,Luca Potenza,2000-07-28,ITA,425,111,108,6,0
54366,Jannis Kracht,2001-05-03,GER,,,,,
54367,Nicolas Kimmlingen,1998-04-16,GER,,,,,
54368,Jordi Walder,1998-07-19,GER,,,,,
54369,Federico Malagoli,1995-11-28,ITA,,,,,
54370,Sukhee Ann,2000-08-04,KOR,,,,,
54371,Martim Cafe,1998-04-19,POR,,,,,
54372,Beltran Moreno De Alboran,2000-04-01,ESP,,,,,
54373,Josef Altmann,1995-11-30,CRC,,,,,
54374,Sergio Gomez Montesa,2000-05-25,ESP,,,,,
54375,Carlos Ferrus Mico,2001-02-15,ESP,,,,,
54376,Javier Molino,2001-05-14,ESP,,,,,
54377,Samuel Martinez Arjona,2001-12-21,ESP,,,,,
54378,Alberto Colas Sanchez,2000-05-19,ESP,,,,,
54379,Davide Innocenti,1999-05-27,ITA,,,,,
54380,Tommaso Compagnucci,1999-11-05,ITA,432,107,3,104,0
54381,Juan Martin Del Potro/Guido Pella,,N/A,,,,,
54382,Leon Vessels,,USA,,,,,
54383,Nikita-Girey Demir,,USA,,,,,
54384,Nick Zieziula,1983-03-22,USA,,,,,
54385,Thomas Fabbiano/Franko Skugor,,N/A,,,,,
54386,Frank Moser/Andreas Seppi,,N/A,,,,,
54387,Teimuraz Gabashvili/Leander Paes,,N/A,,,,,
54388,Dino Marcan/Ante Pavic,,N/A,,,,,
54389,Mikhail Elgin/Mikhail Youzhny,,N/A,,,,,
54390,Antoine Bellier/Henri Laaksonen,,N/A,,,,,
54391,Rameez Junaid/Alexander Satschko,,N/A,,,,,
54392,Aisam Qureshi/Andre Sa,,N/A,,,,,
54393,Philipp Marx/Miguel-Angel Reyes-Varela,,N/A,,,,,
54394,Inigo Cervantes/Mateusz Kowalczyk,,N/A,,,,,
54395,Roberto Carballes Baena/Andres Molteni,,N/A,,,,,
54396,Rogerio Dutra Da Silva/Paolo Lorenzi,,N/A,,,,,
54397,Lucas Miedler/Akira Santillan,,N/A,,,,,
54398,Jonathan Erlich/Santiago Gonzalez,,N/A,,,,,
54399,Dennis Novak/Dominic Thiem,,N/A,,,,,
54400,Ariel Behar/John-Paul Fruttero,,N/A,,,,,
54401,Chris Guccione/Sam Querrey,,N/A,,,,,
54402,Denis Kudla/Frances Tiafoe,,N/A,,,,,
54404,Nicolas Barrientos/Ruben Gonzales,,N/A,,,,,
54405,Cheong-Eui Kim/Sidharth Rawat,,N/A,,,,,
54406,Temur Ismailov/Uisung Park,,N/A,,,,,
54407,Hyun-Woo Nam/Daniel Yoo,,N/A,,,,,
54408,Zhe Li/Chu-Huan Yi,,N/A,,,,,
54409,Jimmy Wang/Di Wu,,N/A,,,,,
54410,Frederico Ferreira Silva/Pedro Sousa,,N/A,,,,,
54411,Isak Arvidsson/Joao Souza,,N/A,,,,,
54412,Hubert Hurkacz/Patrik Niklas-Salminen,,N/A,,,,,
54413,Aslan Karatsev/Alexander Vasilenko,,N/A,,,,,
54414,Luca Margaroli/Mark Vervoort,,N/A,,,,,
54415,Ristomatti Lanne/Eero Vasa,,N/A,,,,,
54416,David Perez Sanz/Max Jacob Schnur,,N/A,,,,,
54417,Kevin Krawietz/Albano Olivetti,,N/A,,,,,
54419,Edoardo Lamberti/Paride Mangiaterra,,N/A,,,,,
54420,Federico Gaio/Andrea Vavassori,,N/A,,,,,
54421,Riccardo Bonadio/Gianluca Mager,,N/A,,,,,
54422,Mate Delic/Filip Veger,,N/A,,,,,
54423,Remi Boutillier/Alexandre Sidorenko,,N/A,,,,,
54424,Aldin Setkic/Ilija Vucic,,N/A,,,,,
54425,Ruben Bemelmans/Adrian Menendez-Maceiras,,N/A,,,,,
54426,Jurgen Melzer/Philipp Oswald,,N/A,,,,,
54427,Robin Haase/Matwe Middelkoop,,N/A,,,,,
54428,Quentin Halys/Stefan Kozlov,,N/A,,,,,
54429,Andrey Golubev/Jeevan Nedunchezhiyan,,N/A,,,,,
54430,Liam Broady/Guilherme Clezar,,N/A,,,,,
54431,Jarkko Nieminen/Patrik Niklas-Salminen,,N/A,,,,,
54432,Erik Crepaldi/Evan King,,N/A,,,,,
54433,William Mendler/Nick Zieziula,,N/A,,,,,
54434,Thai Kwiatkowski/Tommy Paul,,N/A,,,,,
54435,Diego Galeano/Ayed Zatar,,N/A,,,,,
54436,Alexandar Lazarov/Vasko Mladenov,,N/A,,,,,
54437,Nikoloz Basilashvili/Nodar Itonishvili,,N/A,,,,,
54438,Hamed Al Solaiteen,1982-07-05,KUW,,,,,
54439,Yasitha De Silva/Harshana Godamanna,,N/A,,,,,
54440,Brian Baker/Austin Krajicek,,N/A,,,,,
54441,Maximilian Neuchrist/David Pel,,N/A,,,,,
54442,Alexander Erler/Stefan Hirn,,N/A,,,,,
54443,Lorenz Fink/Toby Martin,,N/A,,,,,
54444,Bradley Mousley/Lukas Ollert,,N/A,,,,,
54445,Corentin Denolly/Stefanos Tsitsipas,,N/A,,,,,
54446,Tom Kocevar-Desman/Nik Razborsek,,N/A,,,,,
54447,Jakob Aichhorn/Gregor Ramskogler,,N/A,,,,,
54448,Enrico Becuzzi/Francesco Cano,,N/A,,,,,
54449,Marco Gjomarkaj/Fabrizio Ornago,,N/A,,,,,
54450,Sebastian Bader/Matthias Haim,,N/A,,,,,
54451,Philipp Schroll/Mick Veldheer,,N/A,,,,,
54452,Nathaniel Lammons/Elliot Minvielle,,N/A,,,,,
54453,Yan Sabanin/Andrei Soltoianu,,N/A,,,,,
54454,Marc Dijkhuizen/Mateusz Terczynski,,N/A,,,,,
54455,Juan Pablo Ficovich/Eduardo Peralta-Tello,,N/A,,,,,
54456,Ronan Joncour/Caio Silva,,N/A,,,,,
54457,Henrique Nappi Zuliani/Juliano Neris,,N/A,,,,,
54458,Tulio Antunes Crepaldi/Gabriel Tumasonis,,N/A,,,,,
54459,Andrew Carter/Gustavo De Oliveira Cruz,,N/A,,,,,
54460,Facundo Jofre/Agustin Suarez Gonzalez,,N/A,,,,,
54461,Gabriel Alejandro Hidalgo/Juan Manuel Matute,,N/A,,,,,
54462,Asdrubal Gobernate/Breno Henrique Simonato Pereira,,N/A,,,,,
54463,Wei Qiang Zheng/Su Hao Zhong,,N/A,,,,,
54464,Ye Cong Mo/Tao Mu,,N/A,,,,,
54465,Thomas Fancutt/Mitchell William Robins,,N/A,,,,,
54466,Grigory Potemkin/Vadym Ursu,,N/A,,,,,
54467,Martin Hlavacka/Radek Koudela,,N/A,,,,,
54468,Vit Kopriva/Laslo Urrutia Fuentes,,N/A,,,,,
54469,Martin Blasko/Lukas Klein,,N/A,,,,,
54470,Dylan Gee/Zeljko Milovic,,N/A,,,,,
54471,Daniele Catini/Mostafa Mohamed Hatem,,N/A,,,,,
54472,Majed Kilani/Tomas Papik,,N/A,,,,,
54473,Manuel Mazzella/Antonio Zucca,,N/A,,,,,
54474,Sagar Ahuja/Akram El Sallaly,,N/A,,,,,
54475,Riccardo Chessari/Marco Di Prima,,N/A,,,,,
54476,Oleg Khotkov/Arturs Lazdins,,N/A,,,,,
54477,Evan Furness/Matteo Martineau,,N/A,,,,,
54478,Maxime Guichoud/Cristian Villagran,,N/A,,,,,
54479,Gianni Mina/Alexis Musialek,,N/A,,,,,
54480,Benjamin Pietri/Zhizhen Zhang,,N/A,,,,,
54481,Maxime Cressy/Romain Sichez,,N/A,,,,,
54482,Vadim Alekseenko/Antoine-Michel Alexeev,,N/A,,,,,
54483,Mateo Galdon/Felipe Martinez Sarrasague,,N/A,,,,,
54484,Joffrey De Schepper/Boris Fassbender,,N/A,,,,,
54485,Marat Deviatiarov/Mathieu Roy,,N/A,,,,,
54486,Roy De Valk/Peter Torebko,,N/A,,,,,
54487,Esteban Bruna/Nicolas Bruna,,N/A,,,,,
54488,Yanais Laurent/Vincent Thierry Schneider,,N/A,,,,,
54489,Max Bohl/Nicolas Kimmlingen,,N/A,,,,,
54490,Federico Coria/Bruno Sant'Anna,,N/A,,,,,
54491,Marvin Netuschil/Jakob Sude,,N/A,,,,,
